City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Fuerte Olimpo,PY,-21.0415,-57.8738,66.42,95,66,3.44,broken clouds
281,Geraldton,AU,-28.7667,114.6,50.41,87,28,4.61,scattered clouds
282,Takaka,NZ,-40.85,172.8,53.19,45,0,5.39,clear sky
283,Souillac,MU,-20.5167,57.5167,70.18,73,40,13.8,scattered clouds
284,Vanavara,RU,60.34,102.2797,23.14,96,48,0.4,scattered clouds
285,Ballina,AU,-28.8667,153.5667,72.79,74,58,11.7,broken clouds
286,Armidale,AU,-30.5167,151.65,58.78,78,72,5.91,broken clouds
287,Nishihara,JP,26.1842,127.7558,80.65,84,40,9.22,scattered clouds
288,Poretskoye,RU,55.1974,46.3291,42.71,95,6,7.02,clear sky
289,Kasongo-Lunda,CD,-6.4667,16.8167,69.37,88,87,3.49,light rain
290,Port Macquarie,AU,-31.4333,152.9167,70.9,67,36,15.84,scattered clouds
291,Ketchikan,US,55.3422,-131.6461,60.78,94,20,12.66,few clouds
292,Presidente Epitacio,BR,-21.7633,-52.1156,71.1,91,100,16.84,overcast clouds
293,Daru,PG,-9.0763,143.2092,80.87,87,95,15.66,overcast clouds
294,Khatanga,RU,71.9667,102.5,19.85,95,100,14.0,overcast clouds
295,Fuling,CN,29.7022,107.3919,58.66,96,100,2.66,overcast clouds
296,Rantepao,ID,-2.9701,119.8978,73.54,84,100,1.16,overcast clouds
297,Couva,TT,10.4225,-61.4675,79.07,50,60,4.0,broken clouds
298,Tortoli,IT,39.9256,9.6572,64.22,77,0,10.36,clear sky
299,Harper,LR,4.375,-7.7169,75.99,89,85,6.89,overcast clouds
300,Lakatoro,VU,-16.0999,167.4164,82.72,71,11,5.35,few clouds
301,Abbeville,FR,50.1,1.8333,49.96,75,43,6.33,scattered clouds
302,Omboue,GA,-1.5746,9.2618,76.46,87,100,7.76,light rain
303,Pisco,PE,-13.7,-76.2167,62.65,77,0,13.8,clear sky
304,Tiznit,MA,29.5833,-9.5,73.83,51,0,1.7,clear sky
305,Puerto Madryn,AR,-42.7692,-65.0385,53.29,59,25,7.52,scattered clouds
306,Lensk,RU,60.7253,114.9278,25.63,88,67,0.94,broken clouds
307,Castro,BR,-24.7911,-50.0119,61.75,99,100,7.38,moderate rain
308,Wamba,NG,8.9333,8.6,68.76,98,77,0.94,broken clouds
309,Floro,NO,61.5996,5.0328,53.56,76,100,24.16,overcast clouds
310,Rantauprapat,ID,2.1,99.8333,74.08,96,100,1.25,overcast clouds
311,Boguchany,RU,58.3814,97.4531,27.18,96,52,1.48,broken clouds
312,Lermontovka,RU,47.1453,134.3383,41.41,50,10,5.5,clear sky
313,Murgab,TM,37.4966,61.9714,51.67,54,0,0.0,clear sky
314,Leningradskiy,RU,69.3833,178.4167,30.15,83,100,33.64,overcast clouds
315,Faanui,PF,-16.4833,-151.75,78.17,77,18,24.87,light rain
316,Kieta,PG,-6.2167,155.6333,84.76,59,100,3.47,overcast clouds
317,Santa Cruz,BO,-17.8,-63.1667,75.25,88,75,11.5,thunderstorm with light rain
318,Natal,BR,-5.795,-35.2094,80.82,83,20,9.22,few clouds
319,Veraval,IN,20.9,70.3667,80.2,76,90,11.9,overcast clouds
320,Ponta Delgada,PT,37.7333,-25.6667,69.49,77,20,3.44,few clouds
321,Margate,GB,51.3813,1.3862,54.9,86,20,3.0,few clouds
322,Persan,FR,49.15,2.2667,53.28,93,0,2.3,clear sky
323,Khuzdar,PK,27.7384,66.6434,70.57,34,0,0.69,clear sky
324,Kumylzhenskaya,RU,49.8809,42.5898,50.99,76,74,7.7,broken clouds
325,Ginda,IN,30.6945,78.4932,55.33,82,19,5.82,few clouds
326,Avera,US,33.194,-82.5271,72.91,38,0,1.86,clear sky
327,Upington,ZA,-28.4478,21.2561,61.18,33,0,4.61,clear sky
328,Kiunga,PG,-6.1219,141.2906,84.79,67,98,1.92,overcast clouds
329,Coihaique,CL,-45.5752,-72.0662,43.41,65,75,5.75,broken clouds
330,Kavaratti,IN,10.5669,72.642,81.25,75,100,14.72,overcast clouds
331,Ahipara,NZ,-35.1667,173.1667,57.27,55,87,7.18,overcast clouds
332,Bubaque,GW,11.2833,-15.8333,81.39,73,75,7.61,broken clouds
333,Jiazi,CN,22.8779,116.067,79.03,79,51,13.06,broken clouds
334,Mujiayingzi,CN,42.1167,118.7833,44.56,25,0,6.73,clear sky
335,Mezen,RU,65.8522,44.24,46.2,92,100,13.35,overcast clouds
336,Gat,IL,31.61,34.7642,74.08,100,0,3.87,clear sky
337,Korla,CN,41.7597,86.1469,51.69,42,27,2.66,scattered clouds
338,Huilong,CN,31.8111,121.655,59.94,79,100,10.71,overcast clouds
