City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Bela,IN,2022-10-04 23:57:30,25.9333,81.9833,75.65,97,100,7.58
247,Yambio,SS,2022-10-04 23:57:30,4.5721,28.3955,68.07,97,100,2.13
248,Saint Simons,US,2022-10-04 23:57:31,31.1352,-81.3901,67.01,67,0,0.0
249,Port Macquarie,AU,2022-10-04 23:57:31,-31.4333,152.9167,66.49,59,99,8.25
250,La Ronge,CA,2022-10-04 23:57:32,55.1001,-105.2842,61.05,51,40,5.75
251,Tual,ID,2022-10-04 23:57:32,-5.6667,132.75,82.58,76,100,9.93
252,Gilleleje,DK,2022-10-04 23:57:33,56.122,12.3106,56.95,84,100,1.99
253,Anantapur,IN,2022-10-04 23:57:34,14.6833,77.6,76.17,74,100,6.91
254,Namatanai,PG,2022-10-04 23:57:34,-3.6667,152.4333,85.17,65,97,12.57
255,Buala,SB,2022-10-04 23:57:35,-8.145,159.5921,83.91,73,78,10.69
256,Turulung,RO,2022-10-04 23:57:35,47.9333,23.0833,49.48,89,22,2.37
257,Moanda,GA,2022-10-04 23:57:36,-1.5575,13.2178,70.18,95,100,2.01
258,Moron,AR,2022-10-04 23:57:36,-34.6534,-58.6198,61.97,86,0,9.66
259,Plattsburgh,US,2022-10-04 23:56:59,44.6995,-73.4529,53.01,80,95,1.01
260,Chulumani,BO,2022-10-04 23:57:38,-16.4096,-67.5263,66.69,89,80,2.1
261,Serebryansk,KZ,2022-10-04 23:57:39,49.6925,83.2892,33.91,53,0,4.7
262,Arman,RU,2022-10-04 23:57:39,59.7,150.1667,30.02,64,100,12.28
263,Sidi Ali,DZ,2022-10-04 23:57:40,36.0998,0.4206,68.79,63,45,4.61
264,Honiara,SB,2022-10-04 23:57:40,-9.4333,159.95,85.96,68,43,9.86
265,Zyryanka,RU,2022-10-04 23:57:41,65.75,150.85,24.06,73,56,21.12
266,Kalmunai,LK,2022-10-04 23:57:42,7.4167,81.8167,79.95,73,100,2.33
267,Kuryk,KZ,2022-10-04 23:57:43,43.2,51.65,63.91,25,4,20.29
268,Namwala,ZM,2022-10-04 23:57:44,-15.7504,26.4384,72.01,30,0,5.03
269,Sterling,US,2022-10-04 23:55:44,39.0062,-77.4286,52.02,90,100,13.0
270,Koroni,GR,2022-10-04 23:57:44,36.8,21.95,69.08,72,26,8.43
271,Salalah,OM,2022-10-04 23:56:10,17.0151,54.0924,77.49,84,65,5.75
272,Belmonte,BR,2022-10-04 23:57:45,-15.8631,-38.8828,75.34,79,8,12.41
273,Togur,RU,2022-10-04 23:58:46,58.3631,82.8265,37.4,97,100,9.26
274,Kaitangata,NZ,2022-10-04 23:58:46,-46.2817,169.8464,38.21,90,80,17.54
275,Gambela,ET,2022-10-04 23:58:47,8.25,34.5833,70.5,86,82,3.4
276,Cabo Rojo,PR,2022-10-04 23:58:47,18.0866,-67.1457,80.67,89,66,6.02
277,Aran,AZ,2022-10-04 23:58:48,40.6253,46.9756,66.92,67,0,2.77
278,Berlevag,NO,2022-10-04 23:58:48,70.8578,29.0864,42.75,81,100,10.36
